<|AL|vgg16|used|32|[8, 14, 10]|acc|0.5148514851485149|>
<|AL|vgg16|used|64|[23, 15, 26]|acc|0.6138613861386139|>
<|AL|vgg16|used|96|[29, 27, 40]|acc|0.731023102310231|>
<|AL|vgg16|used|128|[29, 53, 46]|acc|0.46204620462046203|>
<|AL|vgg16|used|160|[44, 58, 58]|acc|0.8052805280528053|>
<|AL|vgg16|used|192|[55, 70, 67]|acc|0.8712871287128713|>
<|AL|vgg16|used|224|[66, 79, 79]|acc|0.8250825082508251|>
<|AL|vgg16|used|256|[68, 90, 98]|acc|0.8036303630363036|>
<|AL|vgg16|used|288|[76, 100, 112]|acc|0.8003300330033003|>
<|AL|vgg16|used|320|[80, 115, 125]|acc|0.8613861386138614|>
<|AL|vgg16|used|352|[82, 137, 133]|acc|0.6716171617161716|>
<|AL|vgg16|used|384|[101, 138, 145]|acc|0.7821782178217822|>
<|AL|vgg16|used|416|[102, 156, 158]|acc|0.8762376237623762|>
<|AL|vgg16|used|448|[107, 173, 168]|acc|0.8696369636963697|>
<|AL|vgg16|used|480|[111, 175, 194]|acc|0.7293729372937293|>
<|AL|vgg16|used|512|[125, 190, 197]|acc|0.8712871287128713|>
