<|AL|vgg16|used|32|[24, 3, 5]|acc|0.38283828382838286|>
<|AL|vgg16|used|64|[24, 16, 24]|acc|0.3547854785478548|>
<|AL|vgg16|used|96|[34, 38, 24]|acc|0.3415841584158416|>
<|AL|vgg16|used|128|[62, 38, 28]|acc|0.37293729372937295|>
<|AL|vgg16|used|160|[68, 38, 54]|acc|0.2854785478547855|>
<|AL|vgg16|used|192|[100, 38, 54]|acc|0.37293729372937295|>
<|AL|vgg16|used|224|[114, 43, 67]|acc|0.37293729372937295|>
<|AL|vgg16|used|256|[120, 43, 93]|acc|0.2854785478547855|>
<|AL|vgg16|used|288|[150, 45, 93]|acc|0.37293729372937295|>
<|AL|vgg16|used|320|[179, 45, 96]|acc|0.37293729372937295|>
<|AL|vgg16|used|352|[195, 47, 110]|acc|0.37293729372937295|>
<|AL|vgg16|used|384|[207, 59, 118]|acc|0.37293729372937295|>
<|AL|vgg16|used|416|[210, 59, 147]|acc|0.37293729372937295|>
<|AL|vgg16|used|448|[211, 73, 164]|acc|0.2854785478547855|>
<|AL|vgg16|used|480|[236, 78, 166]|acc|0.37293729372937295|>
<|AL|vgg16|used|512|[261, 78, 173]|acc|0.37293729372937295|>
